丽江	玉龙雪山,龙泉寺,丽江古城,束河古镇,木府	牦牛肉,洋芋鸡,丽江雪桃,牦牛酸奶,松菌	茶马古道,火把节,纳西族,丽江木氏土司,印象·丽江
邯郸	娲皇宫,晋冀鲁豫烈士陵园,邺城遗址,兰陵王墓,邯郸道	大名二毛烧鸡,丛台酒,大名五百居香肠,魏县鸭梨,涉县核桃	荀子,杨氏太极拳,完璧归赵,皮影戏,将相和
大连	发现王国主题公园,星海广场,大连老虎滩海洋公园,黄金海岸,大连森林动物园	疙瘩汤,大连铁板鱿鱼,章鱼烧,油爆海螺,三鲜焖子	大连话,剪纸,足球,农民画,南戏
常州	东坡公园,舣舟亭,中华恐龙园,淹城,天宁寺	蟹壳黄,小笼包,酒酿圆子,乌米饭,虾饼	吴语,常州梳篦,留青竹刻,常州花博会,常州吟诵
襄阳	襄阳城,古隆中,诸葛亮广场,诸葛亮故居,九连墩	牛油面,襄阳黄酒,宜城大虾,襄阳大头菜,襄阳缠蹄	诸葛亮文化旅游节,孔明锁,老河口木版年画,水淹七军,端公舞
赣州	三僚风水文化景区,赣州古浮桥,将军园,赣州古城墙,梅关古道	梅菜扣肉,酿豆腐,盐焗鸡,兴国鱼丝,赣南脐橙	傩戏,兴国山歌,赣州脐橙节,哭嫁,赣州话
东莞	虎门炮台,可园,鸦片战争博物馆,迎恩门城楼,村头村遗址	白糖糕,东江盐焗鸡,石碣龙眼,麻涌香蕉,东坑糖不甩	粤语,荔枝节,粤曲,莞邑醒狮艺术,东莞龙舟竞渡
深圳	世界之窗,深圳东部华侨城,深圳欢乐谷,深圳音乐厅,新安故城	白切鸡,沙井鲜蚝,下沙大盆菜,公明烧鹅,红烧光明乳鸽	广府文化,设计之都,深圳读书月,中国（深圳）国际文化产业博览交易会,深圳客家文化节
定安	海南热带飞禽世界,南丽湖,文笔峰,母瑞山,母瑞山革命纪念园	斋菜煲,定安黑猪,海南煎棕,伊面,菜包饭	海南话,苗语,苗族,黎语,黎族
温州	望海楼,雁荡山,洞头列岛,楠溪江,江心屿	炒粉干,楠溪江麦饼,灯盏糕,长人馄饨,矮人松糕	吴语,芥菜饭,温州话,吃巧食,浙南闽语
澄迈	金山寺,美榔双塔,双滩赴海,济公山旅游度假区,加笼坪热带季雨林旅游区	海南粉,瑞溪粽子,白莲鹅,澄迈苦丁茶,福山咖啡	闽南语,闽语,海南话,苗语,黎语
琼中	白沙起义纪念园,百花岭,黎母山,黎母山森林公园,百花岭瀑布	椰子饭,琼中山鸡,绿橙,琼中山矾,橙汁扣小黄牛	海南话,苗语,琼中县志,黎语,琼中黎族民歌
苏州	拙政园,寒山寺,金鸡湖景区,狮子林,周庄景区	生煎,响油鳝糊,梅花糕,清炒虾仁,松鼠桂鱼	昆曲,太湖,苏州话,苏州园林,苏绣
五指山	黎母山,五指山风景区,万泉河,五指山,五指山大峡谷	清补凉,龙眼,荔枝,山兰酒,芒果	海南话,三月三,我爱五指山,五指山之恋,黎族船形屋
陵水	香水湾,苏维埃旧址,吊罗山,吊罗山国家森林公园,椰田古寨	陵水酸粉,琵琶蟹,圣女果,酸粉,黄灯笼辣椒	粤语,海南话,客家话,苗语,黎语
泉州	西湖公园,开元寺,安平桥,清源山,洛阳桥	卤肉饭,面线糊,肉粽,土笋冻,蚵仔煎	妈祖,南音,闽南语,高甲戏,歌仔戏
琼海	博鳌海洋馆,万泉河,龙湾港,玉带滩,红色娘子军纪念园	盐焗鸡,椰子饭,加积鸭,嘉积鸭,椰丝糯米粑	军坡节,南汉草席,千秋八仙桌,万泉河龙舟赛,博鳌亚洲论坛
洛阳	白云山,丝绸之路,花果山,龙门石窟,老君山	胡辣汤,羊肉汤,浆面条,肉夹馍,丸子汤	牡丹文化,洛阳铲,河图洛书,老子文化,河洛文化
上海	外滩,东方明珠广播电视塔,杜莎夫人蜡像馆,上海迪士尼乐园,文庙	南翔小笼,生煎,蟹壳黄,阳春面,排骨年糕	越剧,孙雯,旗袍,弄堂,海派文化
宝鸡	凤翔东湖,法门寺,太白山,灵山,炎帝陵	锅盔,臊子面,biangbiang面,肉夹馍,擀面皮	青铜器,明修栈道，暗度陈仓,血社火,西府海棠,凤鸣岐山
珠海	珠海渔女像,情侣路,长隆海洋王国,圆明新园,银沙滩	黄杨荔枝,横琴蚝,珠海膏蟹,小托山桔,斗门重壳蟹	粤语,广府文化,珠海格力电器股份有限公司,广府民系,浪漫之城
文昌	海底村庄,铜鼓岭,八门湾红树林国家湿地公园,七洲列岛,文昌孔庙	清补凉,盐焗鸡,文昌鸡,老爸茶,红糖年糕	骑楼,妈祖,闽南语,琼剧,海南岛欢乐节
屯昌	木色旅游度假风景区,木色湖,南吕岭探险旅游区,西昌银岭山洞探险旅游区,洪斗坡白鹭鸟乐园	椰子,芒果,竹筒饭,珍珠石榴,五色饭	闽南语,军坡节,海南话,苗族,斗牛
保亭	呀诺达热带雨林景区,槟榔谷,保亭千龙洞,毛感千龙洞,仙龙洞	椰子饭,海南粉,芒果,竹筒饭,琼式月饼	海南话,苗语,黎族织锦,黎语,舂米舞
黔南	大七孔桥,邓恩铭故居,百子桥,荔波樟江风景名胜区	丝娃娃,酸汤,凯里酸汤鱼,荔波风猪,冲冲糕	
安顺	黄果树瀑布,龙宫,黄果树,西江苗寨,紫云格凸河穿洞	丝娃娃,糯米饭,洋芋粑粑,旧州鸡辣子,安顺裹卷	夜郎文化,屯堡文化,穿洞文化
万宁	石梅湾,日月湾,兴隆热带植物园,大洲岛,神州半岛	和乐蟹,海南东山羊,槟榔,菠萝,后安粉	闽南语,闽语,2012海南万宁日月湾国际冲浪节,中国书法之乡,龙滚军坡
毕节	织金洞,百里杜鹃,乌江源百里画廊,草海,韭菜坪	黄粑,凉糕,酸菜,牛干巴,糍粑	火把节,彝族,跳花节,苗族,布依族
铜仁	印江土家族苗族自治县,石阡温泉群,梵净山,石阡,石阡温泉	米豆腐,绿豆粉,羊肉粉,炒粉,卷粉	土家族,苗族,仡佬族,紫薇花,侗族
厦门	鼓浪屿,厦门大学,环岛路,菽庄花园,南普陀寺	面线糊,肉粽,奶茶,佛跳墙,土笋冻	妈祖,南音,闽南语,高甲戏,歌仔戏
儋州	东坡书院,千年古盐田,石花水洞,松涛水库,云月湖	米烂	粤语,客家语,儋州话,临高话,客家话
乐东	天池,尖峰岭,黎母岭,西山岭,尖峰岭国家森林公园	红糖年糕,苗家三色饭,甜酸粉,芒果,香蕉	闽语,剪纸,花灯,黎族,崖州志
昌江	皇帝洞,霸王岭国家森林公园,斧头山,棋子湾,霸王岭自然保护区	野生蜂蜜,昌江芒果,白斩乳羊,清蒸鱼头,红椒酿肉	黎族,琼语,昌江县志,昌江赋,絣染
丽水	云和梯田,冒险岛水世界,沙溪古井,雪花漈,仙水洞	麻糍,清明果,缙云烧饼,缙云土面,松阳薄饼	龙蛋石,青田石,刘伯温传说,龙泉宝剑锻制技艺,丽水鼓词
东方	感恩学宫,俄贤岭,天南第一泉,鱼鳞洲风景区,鱼鳞洲	琼中山鸡,椰子船,红椒酿肉,琼山豆腐,东方白斩羔羊	海南话,黎语,黎族,哥隆人,海南黄花梨
九江	石钟山,庐山,三叠泉,白鹿洞书院,东林寺	酒糟鱼,庐山云雾茶,马头鱼,九江茶饼,湖口豆豉	采茶戏,赣剧,清音,文曲戏,九江高腔
绍兴	王羲之故居,大禹陵,南山湖,兰亭,沈园	酒酿圆子,臭豆腐,青团,小笼馒头,腊肠	越剧,吴语,莲花落,江南,乌篷船
衢州	三衢石林,仙霞关,古田山,廿八都,六春湖	清明粿,腊肠,麻糍,板栗,胡柚	吴语,烂柯人,开化纸,衢州三怪,衢州麻饼
镇江	,焦山,北固山,南山风景区,隆昌寺	锅盖面,镇江糖醋萝卜干,镇江醋,丹阳大麦粥,水晶肴肉	吴语,黄梅戏,扬剧,镇江话,西石城风俗志
